catalogNumber,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,dateIdentified,country,stateProvince,verbatimLocality,AnnotatorLocality
JHFN1-54-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea congesta,Ostrea congesta,'1906-06-09,United States of America,Colorado,Big Thompson,"Big Thompson Creek , Colorado"
JHFN1-54-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus sp.,Inoceramus,'1906-06-09,United States of America,Colorado,Big Thompson,"Big Thompson Creek , Colorado"
JHFN1-54-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus deformis,Inoceramus deformis,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea congesta,Ostrea congesta,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus,Inoceramus,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus barabini,Inoceramus barabini,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Baculites ovatus,Baculites ovatus,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus barabini,Inoceramus barabini,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-54-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Baculites,Baculites,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-55-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,B. ovatus,Baculites ovatus,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-55-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Scaphites,Scaphites,'1906-06-09,United States of America,Colorado,Left Hand Creeks,Left Hand Creek
JHFN1-56-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,cottonwood,Populus,'1906-06-10,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-56-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mollusca,mollusca,'1906-06-10,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-57-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,garter snake,garter snake,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-57-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mollusks,mollusk,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-57-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ancylus,Ancylus,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-58-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Bullock orioles,Icterus bullockii,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-58-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Frundulus sp.,Frundulus,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorado"
JHFN1-58-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis parvus,Planorbis parvus,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa sp.,Physa,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Limnaea sp.,Limnaea,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pisidium sp.,Pisidium,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Strophites,Strophites,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Anodonta,Anodonta,'1906-06-11,United States of America,Colorado,Big Thompson,"Big Thompson Creek, Colorado"
JHFN1-58-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,carp,carp,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorad"
JHFN1-58-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,catfish,catfish,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorad"
JHFN1-58-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorad"
JHFN1-58-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. virgata,Physa virgata,'1906-06-11,United States of America,Colorado,Loveland,"Loveland, Colorad"
JHFN1-58-M,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis trivolvis,Planorbis trivolvis,'1906-06-11,United States of America,Colorado,Loveland,Loveland
JHFN1-58-N,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. parvus,Planorbis parvus,'1906-06-11,United States of America,Colorado,Loveland,Loveland
JHFN1-58-O,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa sp.,Physa,'1906-06-11,United States of America,Colorado,Loveland,Loveland
JHFN1-61-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Callista,Callista,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-61-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Volsella,Volsella,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-61-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pteria,Pteria,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-61-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus,Inoceramus,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-61-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pinna,Pinna,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-61-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Scaphites nodosus,Scaphites nodosus,'1906-06-13,United States of America,Colorado,Trilby Schoolhouse,Trilby Schoolhouse
JHFN1-63-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Callista sp.,Callista,'1906-06-14,United States of America,Colorado,Little Thompson Creek,"Little Thompson Creek, Colorado"
JHFN1-63-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pinna lakesi,Pinna lakesi,'1906-06-14,United States of America,Colorado,Little Thompson Creek,"Little Thompson Creek, Colorado"
JHFN1-63-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Baculites compressus,Baculites compressus,'1906-06-14,United States of America,Colorado,Little Thompson Creek,"Little Thompson Creek, Colorado"
JHFN1-64-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,alfalfa,Medicago sativa,'1906-06-16,United States of America,Colorado,Little Thompson,Little Thompson Creek
JHFN1-64-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus oblongus,Inoceramus oblongus,'1906-06-16,United States of America,Colorado,Greeley,"Greeley, Colorado"
JHFN1-64-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Limnaea sp.,Limnaea,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-64-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa sp.,Physa,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-64-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis trivolvis,Planorbis trivolvis,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-64-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. parvus,Planorbis parvus,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,yellow headed blackbirds,Xanthocephalus xanthocephalus,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis trivolvis,Planorbis trivolvis,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,American avocet,Recurvirostra americana,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,black crowned night herons,Nycticorax nycticorax,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,great blue herons,Ardea herodias,'1906-06-16,United States of America,Colorado,Poudre Valley Reservoir,Poudre Valley Reservoir
JHFN1-65-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,night herons,Nycticorax nycticorax,'1906-06-16,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-65-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bitterns,Ardeidae,'1906-06-16,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-65-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,WilsonÌ¢åÛåªs phalaropes,Phalaropus tricolor,'1906-06-16,United States of America,Colorado,Poudre valley Reservoir,Poudre valley Reservoir
JHFN1-66-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mollusks,mollusks,'1906-06-17,United States of America,Colorado,Windsor,"Windsor, Colorado"
JHFN1-67-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Veniella humilis,Veniella humilis,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Cardium speciosum,Cardium speciosum,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mactra sp.,Mactra,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pholodomya sp.,Pholodyma,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Placenticeras sp.,Placenticeras,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Cardium speciosum,Cardium speciosum,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mactra sp.,Mactra,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Tellina sp.,Tellina,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea sp.,Ostrea,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Fucoides,Fucoides,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea,Ostrea,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-67-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mactra,Mactra,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-68-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Veniella,Veniella,'1906-06-17,United States of America,Colorado,Ft. Collins,"Ft. Collins, Colorado"
JHFN1-70-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis bicarinatus,Planorbis bicarinatus,'1906-06-19,United States of America,Colorado,Cache la Poudre,Cache la Poudre
JHFN1-70-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pisidium,Pisidium,'1906-06-19,United States of America,Colorado,Cache la Poudre,Cache la Poudre
JHFN1-71-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,plover,plover,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,doves,dove,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,horned larks,Eremophila alpestris,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadow larks,Sturnella,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,burrowing owls,Athene cunicularia,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,lark buntings,Calamospiza melanocorys,'1906-06-20,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-71-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1906-06-20,United States of America,Colorado,Eastman Creek,"Eastman Creek, Colorado"
JHFN1-82-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,spotted adder,Bitis schneideri,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,rattlesnake,rattlesnake,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mockingbirds,mockingbird,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Arkansas kingbird,Tyrannus verticalis,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Say phoebe,Sayornis saya,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,barn,Hirundo rustica,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,cliff swallows,Petrochelidon pyrrhonota,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,white throated swifts,Aeronautes saxatalis,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-83-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlarks,Sturnella,'1906-06-26,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-85-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-28,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-85-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickweed,Cerastium,'1906-06-28,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-85-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mountain mahogany,Cercocarpus,'1906-06-28,United States of America,Colorado,Chalk Bluffs,"Chalf Bluffs, Colorado"
JHFN1-86-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,hairy tailed rat,hairy tailed rat,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,rattlesnake,rattlesnake,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,BrewerÌ¢åÛåªs blackbird,Euphagus cyanocephalus,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,hawks,hawks,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-86-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,rodents,Rodentia,'1906-06-28,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-87-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-29,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-88-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-29,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-89-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtle,turtle,'1906-06-30,United States of America,Colorado,FitcheÌ¢åÛåªs,"Fitche's Ranch, Colorado"
JHFN1-90-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,red evening primroses,Oenothera,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,antelopes,antelopes,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,batrachians,batrachians,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,antelope,antelope,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,shore lark,Eremophila alpestris,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,lark bunting,Calamospiza melanocorys,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlarks,meadowlarks,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,plover,plover,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,American Rough-legged hawk,Buteo lagopus,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-90-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,dove,dove,'1906-07-01,United States of America,Colorado,Grover,"Grover, Colorado"
JHFN1-91-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Sphaerium,Sphaerium,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis,Planorbis,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,crayfish,crayfish,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,frogs,frogs,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,(Fundulus),Fundulus,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,willows,Salix,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,cottonwoods,Populus,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,magpies,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Sphaerium,Sphaerium,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Planorbis trivolvis,Planorbis trivolvis,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-M,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. bicarinatus,Planorbis bicarinatus,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-N,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. parvus,Planorbis parvus,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-O,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,turtles,turtles,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-P,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,green water beetles,green water beetles,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-91-Q,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,leeches,leeches,'1906-07-01,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,gasteropods,gasteropods,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Vivipara,Vivipara,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bivalves,bivalves,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Corbicula,Corbicula,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bivalves,bivalves,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea glabra,Ostrea glabra,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Corbicula,Corbicula,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-92-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,gasteropoda,gasteropoda,'1906-07-02,United States of America,Colorado,Crow Creek,"Crow Creek, Colorado"
JHFN1-93-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,O. glabra,Ostrea glabra,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-93-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Viviparus,Viviparus,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-93-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-93-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea glabra,Ostrea glabra,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-93-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bivalve,bivalve,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-94-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,gasteropods,gasteropods,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
JHFN1-94-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bivalves,bivalves,'1906-07-03,United States of America,Colorado,cache la Poudre,Cache La Poudre
